,City,Cloudiness,Country,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Praia da Vitoria,40,PT,73,38.73,-27.07,22.0,10.72
1,Coquimbo,90,CL,72,-29.95,-71.34,18.0,2.6
2,Batticaloa,25,LK,92,7.71,81.69,23.97,0.86
3,Cherskiy,100,RU,96,68.75,161.3,-30.74,3.55
4,Atuona,5,PF,76,-9.8,-139.03,26.18,7.04
5,Ushuaia,100,AR,67,-54.81,-68.31,18.0,9.8
6,Oriximina,63,BR,64,-1.77,-55.87,30.08,1.08
7,Hilo,1,US,83,19.71,-155.08,21.67,2.08
8,College,90,US,92,64.86,-147.8,-4.0,1.16
9,Yar-Sale,63,RU,96,66.83,70.83,-22.77,4.06
10,Otjiwarongo,39,NA,11,-20.46,16.65,35.34,1.73
11,Mar del Plata,100,AR,60,-46.43,-67.52,15.04,4.67
12,San Patricio,1,PY,56,-26.98,-56.83,28.9,4.59
13,Berlevag,1,NO,79,70.86,29.09,3.0,6.19
14,Williston,1,US,92,48.15,-103.62,0.56,6.7
15,Ibra,99,OM,51,22.69,58.55,23.65,4.17
16,Byron Bay,40,AU,88,-28.65,153.62,22.0,4.1
17,Mataura,100,NZ,76,-46.19,168.86,18.33,4.02
18,Palanga,100,RO,82,44.45,25.08,2.97,3.56
19,Nanortalik,6,GL,67,60.14,-45.24,1.19,3.83
20,Nome,75,US,81,30.04,-94.42,11.0,5.7
21,Beyneu,0,KZ,37,45.32,55.19,-4.69,1.98
22,Avera,90,US,77,33.19,-82.53,18.0,3.1
23,Bambous Virieux,75,MU,66,-20.34,57.76,29.0,3.1
24,Nara,18,JP,87,34.68,135.8,15.0,2.1
25,Hobart,90,AU,53,-42.88,147.33,11.11,3.6
26,Rikitea,14,PF,67,-23.12,-134.97,21.97,3.96
27,Kupang,20,ID,83,-10.16,123.6,27.0,2.6
28,Luderitz,0,NA,82,-26.65,15.16,15.75,10.04
29,Provideniya,99,RU,86,64.42,-173.23,-15.16,3.5
30,Kieta,100,PG,78,-6.22,155.63,26.17,5.22
31,Avarua,100,CK,100,-21.21,-159.78,22.0,0.5
32,Vigrestad,20,NO,61,58.57,5.7,10.0,4.1
33,Vaini,0,IN,64,15.34,74.49,19.96,3.36
34,Bam,37,IR,36,29.11,58.36,10.26,2.43
35,Jinchang,100,CN,42,38.52,102.19,-8.28,1.67
36,Punta Arenas,100,CL,66,-53.16,-70.91,17.0,5.7
37,Saint-Joseph,75,FR,93,43.56,6.97,14.0,11.3
38,Naze,75,NG,66,5.43,7.07,33.0,2.6
39,Suzdal,100,RU,40,56.42,40.45,-5.63,2.42
40,Hobyo,47,SO,73,5.35,48.53,27.9,8.51
41,Cap Malheureux,75,MU,66,-19.98,57.61,29.0,3.1
42,Dunedin,100,NZ,91,-45.87,170.5,12.78,1.79
43,Otavi,100,NA,28,-19.64,17.34,30.3,1.03
44,Pevek,100,RU,92,69.7,170.27,-22.31,2.58
45,Cape Town,75,ZA,60,-33.93,18.42,21.0,7.7
46,Naron,40,ES,71,43.52,-8.15,14.44,5.7
47,Cairns,24,AU,83,-16.92,145.77,22.0,3.6
48,Butaritari,56,KI,66,3.07,172.79,28.55,4.51
49,Muroto,0,JP,80,33.37,134.14,13.33,1.91
50,Port Alfred,81,ZA,84,-33.59,26.89,21.67,1.79
51,Norman Wells,90,CA,92,65.28,-126.83,-9.0,0.98
52,Hithadhoo,65,MV,75,-0.6,73.08,28.64,3.92
53,Ciudad Bolivar,33,VE,62,8.12,-63.55,29.91,2.96
54,Arraial do Cabo,65,BR,62,-22.97,-42.02,32.0,2.1
55,Storm Lake,1,US,92,42.64,-95.21,-1.11,2.6
56,Yeppoon,40,AU,73,-23.13,150.74,22.0,1.87
57,Chokurdakh,92,RU,98,70.62,147.9,-30.1,3.99
58,Busselton,36,AU,45,-33.64,115.35,15.0,5.62
59,Bethel,90,US,100,60.79,-161.76,-7.0,3.1
60,Klaksvik,1,FO,93,62.23,-6.59,7.0,2.1
61,Barrow,38,AR,18,-38.31,-60.23,23.26,5.51
62,Kapaa,1,US,74,22.08,-159.32,26.0,7.7
63,Fereydun Kenar,20,IR,87,36.69,52.52,8.0,5.1
64,Guerrero Negro,73,MX,64,27.97,-114.04,16.34,1.46
65,Havoysund,63,NO,86,71.0,24.66,-2.0,5.7
66,Muros,40,ES,81,42.77,-9.06,16.11,4.1
67,Hermanus,66,ZA,76,-34.42,19.24,20.56,3.13
68,New Norfolk,90,AU,53,-42.78,147.06,11.11,3.6
69,Albany,75,US,55,42.65,-73.75,2.78,2.1
70,Cockburn Town,0,TC,69,21.46,-71.14,25.91,7.89
71,Mehamn,15,NO,91,71.03,27.85,-1.37,5.01
72,Thompson,90,CA,100,55.74,-97.86,-2.0,3.1
73,Carnarvon,0,ZA,6,-30.97,22.13,29.48,7.33
74,Assiniboia,100,CA,72,49.63,-105.99,0.26,6.87
75,Sept-Iles,75,CA,80,50.2,-66.38,0.56,6.7
76,Buchanan,75,LR,83,5.88,-10.05,28.0,2.1
77,Ishigaki,91,JP,81,24.34,124.16,25.44,3.75
78,Saint George,40,GR,77,39.45,22.34,17.0,3.1
79,Nikolskoye,65,RU,73,59.7,30.79,-6.11,5.0
80,Torbay,90,CA,100,47.66,-52.73,3.89,7.2
81,Portland,1,US,34,43.66,-70.25,2.78,7.2
82,Bluff,0,AU,80,-23.58,149.07,20.79,3.04
83,Birjand,75,IR,75,32.86,59.22,5.0,0.94
84,Olkhovka,10,RU,91,53.21,60.61,-10.27,3.79
85,Lorengau,88,PG,76,-2.02,147.27,28.48,4.66
86,Chuy,1,UY,53,-33.69,-53.46,20.57,6.05
